item_name,item_description,instore_price,barcodes
Calpol 6+ Strawberry Sugar Free Suspension 250mg/5ml (100ml),"Calpol 6+ Strawberry Sugar Free Suspension 250mg/5ml provides gentle, effective relief from pain and fever in children aged 6 years and over. Each 5ml dose contains 250mg of paracetamol to help ease headaches, sore throats, toothache, cold and flu symptoms, and reduce high temperatures. The sugar-free, strawberry-flavoured liquid is easy to take and kind to children’s tummies, making it ideal for fast, soothing relief when they’re feeling unwell.

Age Restrictions – Suitable for children aged 6 years and over.

Always read the Patient Information Leaflet before use.",4.5,5010123667320
Calpol Infant Sugar Free (100ml),"Calpol Infant Sugar Free Suspension provides effective relief from mild to moderate pain and fever in babies and children. It treats headache, toothache, earache, teething pain, sore throat, colds and flu, aches and pains, and post-immunisation fever. Contains 120mg paracetamol per 5ml in a sugar-free strawberry flavoured suspension. Gets to work on fever in just 15 minutes and is gentle on tummies.

Age Restrictions - For babies and children aged 2 months to 6 years weighing more than 4kg and not premature.

Always read Patient Information Leaflet before use.",4.5,5010123722708
Calpol Saline Nasal Spray (15ml),"Calpol Saline Nasal Spray (15ml) soothes, clears, and helps protect delicate nasal passages. Its gentle saline formula helps loosen and remove mucus, supporting easier breathing and reducing nasal discomfort caused by colds, allergies, or dryness. Ideal for daily use in infants, children, and adults, this easy-to-use spray provides safe, gentle relief for the whole family.
Age Restrictions – Suitable for all ages, including infants.
Always read the product information and usage guidelines before use.",8.2,3574661368566
Canesten Bacterial Vaginosis Gel (Pack of 7),"Canesten Canesbalance Bacterial Vaginosis Gel is a clinically proven treatment that relieves the symptoms of bacterial vaginosis (BV), including unpleasant odour and abnormal discharge. The gel works by restoring your natural vaginal pH balance using lactic acid, while glycogen helps rebuild healthy vaginal flora. This creates an environment where beneficial bacteria can thrive and prevents harmful bacteria from growing. The pack contains 7 pre-filled, single-use applicators for a complete course of treatment.

Always read Patient Information Leaflet before use.",9.2,5010605055508
Canesten Hydrocortisone Athlete's Foot Cream (15g),"Canesten Hydrocortisone Athlete’s Foot Cream combines antifungal and mild corticosteroid action to relieve itching, redness, and inflammation caused by athlete’s foot and fungal infections. It treats the infection while soothing irritation and discomfort. Suitable for short-term use on affected skin areas only. For external use by adults and children aged 10 years and over. Not for use on the face, genitals, or broken skin. Always read the Patient Information Leaflet before use.",6.9,5010605054327
Canesten Thrush Combi Caps/Cream 150mg/2%,"Canesten Thrush Combi provides complete treatment for vaginal thrush, targeting both internal and external symptoms. The pack includes a vaginal tablet to treat the infection and a soothing cream to relieve itching and irritation. Suitable for adults aged 16 to 60 years. Do not use if pregnant, breastfeeding, or for recurrent infections without medical advice. Always read the Patient Information Leaflet before use.",14.5,5010605402128
Care+ Clove Oil (10ml),"Care+ Clove Oil provides effective relief from toothache by numbing the affected area and soothing dental pain. Made with natural clove oil, a traditional remedy known for its antiseptic and analgesic properties, it helps ease discomfort caused by cavities, gum irritation, or emerging teeth. This simple, fast-acting treatment can be applied directly to the affected tooth for targeted pain relief. Ideal for short-term use until professional dental advice can be sought.

Age Restrictions – Not suitable for children under 12 years.

Always read the Patient Information Leaflet before use.",6.3,50632725
Centrum Advance Adults Tablets (30),"Centrum Advance Adults Tablets provide complete daily nutritional support with a balanced blend of essential vitamins and minerals to help unlock energy, support immunity, and maintain overall health. Formulated with key nutrients such as vitamins B, C, D, and zinc, it helps reduce tiredness and fatigue while supporting healthy skin, bones, and metabolism. Ideal for adults with busy lifestyles, this one-a-day multivitamin helps fill nutritional gaps and promote everyday wellbeing.

Age Restrictions – Suitable for adults and children over 12 years.

Always read the packaging and instructions before use.",6.4,5054563129826
CeraVe Crème Hydratante Visage SPF 50 (52ml),"CeraVe Crème Hydratante Visage SPF 50 (52ml) hydrates, protects, and helps reinforce the skin’s natural barrier. Its lightweight, broad-spectrum SPF 50 formula defends against UV rays while delivering long-lasting moisture with essential ceramides, supporting soft, comfortable, and healthy-looking skin. Ideal for daily sun protection, maintaining hydration, and caring for normal to dry skin, this smooth, easy-to-apply cream provides dependable everyday care.

Age Restrictions – Suitable for adults and children over 3 years.

Always read the product information and usage guidelines before use.",13.3,3337875814652
CeraVe Facial Moisturising Lotion PM (52ml),"CeraVe Facial Moisturising Lotion PM (52ml) hydrates, restores, and helps strengthen the skin’s natural barrier overnight. Its lightweight, non-greasy formula combines essential ceramides, niacinamide, and hyaluronic acid to support long-lasting moisture and a calmer, smoother complexion. Ideal for replenishing skin after cleansing, reducing dryness, and maintaining healthy hydration levels, this gentle, easy-to-apply lotion provides effective nighttime care for all skin types.

Age Restrictions – Suitable for adults and children over 3 years.

Always read the product information and usage guidelines before use.",13.34,3337875597449
Cetirizine 10mg Tablets (Pack of 30),"Cetirizine 10mg Tablets provide effective relief from allergy symptoms including sneezing, runny nose, itchy or watery eyes, and itchy throat. This antihistamine works by blocking histamine, helping to relieve symptoms caused by seasonal allergies like hay fever, year-round allergies, and hives. It typically works within one hour and provides 24-hour relief with just one tablet per day.

Age Restrictions: Suitable for adults and children aged 2 years and older.

Always read Patient Information Leaflet before use.",4.9,5060464503986
Chloralieve Honey & Lemon Lozenges (24),"Chloralieve Honey & Lemon Lozenges (24) soothe, protect, and help relieve minor throat irritation and discomfort. Its soothing honey and lemon formula coats and calms the throat, supporting natural comfort and easing dryness or scratchiness. Ideal for use during colds, seasonal changes, or vocal strain, these easy-to-use lozenges provide gentle, effective care for the whole family.
Age Restrictions – Suitable for adults and children over 6 years.

Always read the product information and usage guidelines before use.",5.7,5060018880068
Clarityn Kids Allergy Solution Mixed Berries Flavour (60ml),"Clarityn Allergy Syrup provides up to 24 hours of relief from hayfever and other allergies. This mixed berries flavoured, sugar-free syrup contains the antihistamine loratadine and relieves symptoms including sneezing, runny nose, itchy eyes, and hives. It's effective against allergies caused by pets, dust, pollen, and skin reactions like rashes and itching.

Age Restrictions - Not suitable for children under 2 years of age.

Always read Patient Information Leaflet before use.",7.8,5010605401787
Clear&Simple Early Response Pregnancy Test (1 Pack),"Clear&Simple Early Response Pregnancy Test detects the pregnancy hormone (hCG) in your urine to determine if you are pregnant. Results appear in 3-5 minutes with clear, easy-to-read lines. For best accuracy, test with your first morning urine when hormone levels are most concentrated. Provides simple, private pregnancy testing at home.

Always read Patient Information Leaflet before use.",4.6,5060337728393
Clearblue Pregnancy Test With Weeks Indicator (1 Pack),"The Clearblue Digital Pregnancy Test with Weeks Indicator provides clear digital results in words within 3 minutes, telling you if you're 'Pregnant' or 'Not Pregnant'. If pregnant, it also estimates how many weeks since conception occurred (1-2, 2-3, or 3+ weeks). Over 99% accurate from the day of your expected period, with the Weeks Indicator being 93% accurate. Sensitive enough to test up to 5 days before your missed period.

Always read Patient Information Leaflet before use.",9.2,4084500477360
Clearblue Pregnany Test Rapid Detection (1 Pack),"The Clearblue Rapid Detection Pregnancy Test is an easy-to-use home pregnancy test that is over 99% accurate from the day you expect your period. It features a color change tip that turns pink to confirm the test is working, providing clear results in just 1-3 minutes. The test displays a simple '+' for pregnant or '-' for not pregnant result, with a control window to confirm the test has worked properly. Can be used up to 5 days before your missed period with first morning urine.

Always read Patient Information Leaflet before use.",10.4,4084500477520
Colgate Max White Luminous Toothpaste (75ml),"Colgate Max White Luminous Toothpaste helps reveal a beautifully radiant, whiter smile by polishing away surface stains and preventing new ones from forming. Its advanced whitening formula contains gentle micro-cleansing crystals that brighten teeth while protecting enamel for everyday use.

Age Restrictions – Suitable for adults and children over 12 years.

Always read the packaging and usage instructions before use.",1.4,8714789859415
Compeed Anti Blister Stick (Pack of 1),"Compeed Anti Blister Stick instantly and invisibly reduces rubbing on the skin to help prevent blisters from forming. This non-stain treatment uses a patented lubricant formula to reduce friction on feet and other body parts prone to chafing. Proven by 9 out of 10 consumers to stop blisters and chafing, it's ideal for wearing new or uncomfortable shoes, or when feet swell in warmer weather. The easy-to-apply stick creates an invisible protective barrier that's perfect for open shoes. Do not use on already formed blisters or open wounds.

Age Restrictions - Not suitable for children under 36 months.

Always read Patient Information Leaflet before use.",6.4,3663555002782
Compeed Blister Medium Plaster (Pack of 5),"COMPEED Medium Blister Plasters provide instant pain relief and fast healing for foot blisters. Using hydrocolloid technology, the plaster forms a protective cushion that absorbs excess moisture while keeping germs out. The thick cushioning redistributes pressure away from the blister for effective pain relief.

The ultra-adhesive design with tapered edges contours smoothly to your skin and stays in place for several days. The waterproof and breathable plaster allows natural healing while the translucent edges blend discreetly with your skin. Pack contains 5 plasters.

Always read Patient Information Leaflet before use.",5.8,5708932006910
Compeed Blister Mixed Plasters (Pack of 5),"Compeed Mixed Blister Plasters provide instant pain relief and fast healing for foot blisters. This pack contains 5 plasters in various sizes (2x Medium, 2x Small, 1x Toes) to suit different parts of the foot.

The hydrocolloid technology absorbs fluid from the blister to create a gel, maintaining a moist environment that promotes natural healing. Thick cushioning redistributes pressure to relieve pain and prevent painful rubbing. The plasters are water-resistant, breathable, and feature a discreet translucent design that blends with skin.

Each plaster stays in place for up to 7 days, offering long-lasting protection while keeping moisture in and germs out.

Always read Patient Information Leaflet before use.",6.3,3574660651751
Compeed Cold Sore Patch (Pack of 15),"Compeed Cold Sore Discreet Healing Patches use hydrocolloid gel technology to create an optimal healing environment for cold sores. The patches help prevent scab formation and can be applied from the very first signs through all stages of an outbreak. They provide a protective barrier that acts as a virus shield, helping to reduce the risk of contamination and spreading to others. The discreet, translucent design offers protection whilst helping to avoid social embarrassment, and can be worn under makeup. Clinically proven to be as effective as 5% acyclovir cream in healing time.

Always read Patient Information Leaflet before use.",7.3,3663555002119
Corsodyl Fresh Mint Mouthwash (300ml),"Corsodyl Fresh Mint Mouthwash helps maintain healthy gums and protect against gum problems such as bleeding and irritation. Its clinically proven antibacterial formula contains chlorhexidine digluconate, which targets and reduces the bacteria that cause plaque build-up — a major cause of gum disease. 

Age Restrictions – Suitable for adults and children over 12 years.

Always read the packaging and usage instructions before use.",5.2,5000347078859
Covonia All In One Cough Mixture (160ml),"Covonia All-in-One provides multi-symptom relief for colds and flu. It helps relieve chesty coughs by loosening phlegm, clears blocked noses to make breathing easier, eases headaches and body aches, and soothes tickly sore throats. This comprehensive formula targets multiple symptoms at once for effective short-term relief.

Suitable for adults and children aged 12 years and over.

Always read Patient Information Leaflet before use.",8.8,5011309090116
Covonia Chesty Cough Sugar Free Syrup (150ml),"Covonia Chesty Cough Sugar Free Syrup provides effective relief from chesty coughs by loosening stubborn mucus (phlegm), making it easier to cough up. This non-drowsy, sugar-free formula works as an expectorant to help clear congestion and irritation. The alcohol-free syrup is suitable for diabetics and those on carbohydrate-controlled diets.

Age Restrictions - Not suitable for children under 12 years.

Always read Patient Information Leaflet before use.",7.4,5011309450415
Covonia Double Impact Cough Drops Original (51g),"Powerful, traditionally hand-made lozenges with dual-action relief for cold, flu, and sore throat symptoms. Each drop features two sides: the brown side warms and soothes the mouth and throat, while the clear side releases strong menthol vapours to clear the nose and throat. Non-medicated, non-drowsy, gluten-free, and suitable for vegetarians.

Age Restrictions - Suitable for ages 12 and above.

Always read Patient Information Leaflet before use.",2.7,5011309440614
Covonia Dry & Tickly Cough Mixture Linctus (150ml),"Covonia Dry & Tickly Cough Linctus is a non-drowsy soothing preparation that provides relief for dry, irritating coughs and sore throats. The formulation contains glycerol, which coats the throat to soothe the upper respiratory tract and calm persistent coughing. Ideal for daytime use without causing drowsiness.

Age Restrictions: Not suitable for children under 1 year. Not suitable for diabetics.

Always read Patient Information Leaflet before use.",7.2,5011309013719
Cura-Heat 24hr Back & Shoulder Patches (Pack of 4),"Cura-Heat Back & Shoulder Patches provide targeted heat therapy for temporary relief from mild muscular and joint discomfort. These air-activated patches deliver soothing heat for up to 12 hours, with pain relief continuing for an additional 12 hours after removal, offering up to 24 hours of relief. The patches adhere to clothing or underwear over the affected area, providing discreet, portable pain management. Non-medicinal and fragrance-free with a thin design, they help reduce stiffness, improve mobility, and relax tense or aching muscles.

Always read Patient Information Leaflet before use.",3.5,4987072071779
Cura-Heat 8hr Arthritis/Knee Packs (Pack of 4),"Cura-Heat Arthritis Pain for Knee delivers up to 8 hours of deep, comforting heat for targeted relief from arthritis knee pain. Air-activated heat patches increase blood circulation to reduce pain and stiffness while relaxing sore muscles. Non-medicinal, portable and discreet - can be worn under clothing. Includes 4 heat packs and 1 elasticated knee wrap.

Age Restrictions - Not suitable for children under 12 years.

Always read Patient Information Leaflet before use.",4.1,4987072071113
Cystopurin Cystitis Relief Sachets (Pack of 6),"Cystopurin provides fast relief from the burning, stinging, and painful symptoms of cystitis. This low-sodium formulation contains potassium citrate, which works by making urine less acidic and more alkaline, helping to ease the discomfort, urgency, and frequent urination associated with bladder inflammation. The pack contains 6 cranberry-flavoured sachets that dissolve in water for a 48-hour treatment course.

Age Restrictions - Suitable for adults and children aged 6 years and over.

Always read Patient Information Leaflet before use.",10.1,5010605190018
Deep Freeze Gel (35g),"Deep Freeze Cold Gel is a pain-relieving gel that combines the proven principle of cold treatment with the benefits of gentle muscle massage. The active ingredient cools the skin bringing about rapid pain relief. Suitable for the symptomatic relief of pain in muscles, tendons and joints, and is ideal for minor sporting injuries, sprains, strains, back pain, and inflammation.

Age Restrictions: Not suitable for children under 5 years.

Always read Patient Information Leaflet before use.",4.9,5011501016105
Deep Freeze Patches (Pack of 4),"Deep Freeze Cold Patches deliver fast-acting cooling relief for muscle and joint pain. These non-medicated patches work like ice packs to reduce swelling and inflammation from sprains, strains, sports injuries, and sore muscles. Each adhesive patch provides up to 3 hours of soothing cold therapy without restricting movement.

Age Restrictions - Suitable for adults and children over 12 years.

Always read Patient Information Leaflet before use.",7.2,5011501016211
Deep Heat Muscle Massage Roll On Lotion (50ml),"Deep Heat Muscle Massage Roll-On Lotion provides targeted warming relief to ease tight, knotted muscles through heat therapy and massage. The convenient rollerball applicator allows for easy, mess-free application. Can be used before exercise to loosen and soften muscles, after exercise to relieve tension, or in everyday life to release knots in shoulders and backs. Heat increases blood flow, bringing oxygen and nutrients to muscles, helping them relax and move more easily.

Age Restrictions - Not suitable for children under 12 years. Do not use if pregnant or breastfeeding.

Always read Patient Information Leaflet before use.",5.3,5011501013739
Deep Heat Rub (35g),"Deep Heat Heat Rub is a non-greasy pain relief cream that provides targeted, warming relief at the site of pain. It helps relieve muscular aches, pains and stiffness including rheumatic pain, back pain, sciatica, fibrositis, sprains, bruises and chilblains. The dual action of pain relief and heat helps increase blood flow to relax and soothe aching muscles. Can be used before or after exercise.

Age Restrictions - For adults and children over 5 years only.

Always read Patient Information Leaflet before use.",5.2,5011501040018
Deep Relief Duo Pain Relief Gel (50g),"Deep Relief Duo Pain Relief Gel (30g) provides targeted, effective relief from muscular aches, pains, and inflammation. Combining ibuprofen with levomenthol, this dual-action formula helps reduce swelling while creating a soothing, cooling sensation on the skin. The fast-absorbing gel penetrates deeply to ease discomfort associated with strains, sprains, backache, and sports injuries, offering convenient, on-the-spot support when you need it most.

Age Restrictions – Suitable for adults and children aged 12 years and over.

Always read the Patient Information Leaflet before use.",6.3,5011501080021
Deep Relief Gel (30g),"Deep Relief Gel is a fast-acting anti-inflammatory gel that provides triple action relief for muscular aches, rheumatic pain, back pain, strains, sprains and sports injuries. The gel combines ibuprofen and levomenthol to deliver penetrating pain relief while reducing inflammation and swelling. The cooling formula works within minutes, providing immediate comfort and promoting faster recovery. Non-greasy and quick-absorbing.

Age Restrictions - For adults, the elderly and children over 12 years.

Always read Patient Information Leaflet before use.",6.3,5011501000579
DenTek Temparin Max Repair Kit (2.64g),"DenTek Temparin Max Repair Kit provides a quick and effective temporary fix for lost fillings, loose caps, or broken crowns. The easy-to-use formula offers strong, long-lasting repair to help protect exposed teeth and relieve discomfort until you can see a dentist. Each kit includes an applicator tool for precise placement and enough material for multiple repairs. Ideal for emergencies at home or while travelling, it delivers instant relief and protection when dental care isn’t immediately available.

Age Restrictions – Not suitable for children under 12 years.

Always read the Patient Information Leaflet before use.",4.8,47701500026
Dentinox Baby Scalp Oil (30ml),"Dentinox Baby Scalp Oil gently moisturises and nourishes the delicate skin on your baby's scalp. Formulated with rosehip oil, chamomile and vitamin E, this dermatologically tested oil absorbs quickly to help soften dry, flaky skin. Effective from the first use, it provides soothing relief for dry scalps.

Age Restrictions - Suitable from 3 months old.

Always read Patient Information Leaflet before use.",6.8,5011784003861
Dentinox Cradle Cap Shampoo (120ml),"Dentinox Cradle Cap Treatment Shampoo provides effective relief from cradle cap in infants. This gentle formula cleanses the scalp and helps remove cradle cap flakes and scaling. With regular use, it helps prevent the condition from returning and can be used as an everyday shampoo once the cradle cap has cleared. The mild cleansing formula is specially designed for delicate infant skin.

Age Restrictions - Suitable from birth onwards.

Always read Patient Information Leaflet before use.",6.9,5011784050513
Dentinox Infant Colic Drops (100ml),"Dentinox Infant Colic Drops relieve colic symptoms by breaking down trapped air bubbles swallowed during feeding. Contains activated dimeticone which gently disperses gas bubbles in your baby's stomach, reducing discomfort and fussiness. The released air can rise to the top and become a satisfying burp.

Age Restrictions - Suitable for babies from birth.

Always read Patient Information Leaflet before use.",3.7,5011784050414
Dioralyte Blackcurrent Sachets (Pack of 6),"Dioralyte Blackcurrant Sachets replace fluids and essential salts lost through diarrhoea, vomiting or dehydration. This clinically proven formula contains glucose and electrolytes that rehydrate your body up to 3 times faster than water alone. Each sachet dissolves in water to create a pleasant-tasting blackcurrant drink that helps restore your body's natural balance quickly.

Age Restrictions - Not suitable for children under 2 years without medical advice.

Always read Patient Information Leaflet before use.",5.4,5391513951817
Dioralyte Citrus Sachets (6 Sachets),"Dioralyte Sachets rehydrate the body and restores essential salts and water lost through diarrhoea, vomiting, or dehydration. The pleasant citrus flavour makes it easy to take while providing rapid relief from dehydration symptoms. Suitable for adults and children over 1 year (under 2 years with medical supervision). Always read the Patient Information Leaflet before use.",5.4,5391513951770
DulcoEase 100mg Capsules Docusate Sodium (30 Capsule),DulcoEase 100mg Capsules (Docusate Sodium) provide gentle relief from occasional constipation by softening stools for easier and more comfortable bowel movements. The easy-to-swallow capsules are suitable for adults and children aged 12 years and over. Do not exceed the recommended dose. Not for long-term use unless advised by a doctor. Always read the Patient Information Leaflet before use.,7.3,5000283659228
Dulcolax Adult Bisacodyl (20 Tablets),Dulcolax Adult Bisacodyl tablets provide fast and effective relief from occasional constipation. The stimulant laxative works by gently stimulating the bowel to restore regularity. Suitable for adults and children aged 10 years and over. Do not exceed the recommended dose and use only as directed. Not suitable for long-term use unless advised by a doctor. Always read the Patient Information Leaflet before use.,3.7,5000283661894
Dulcolax Adult Pico Liquid 5mg/5ml Oral Solution (100ml),"Dulcolax Adult Pico Liquid 5mg/5ml Oral Solution provides gentle and effective relief from occasional constipation. The easy-to-use liquid formulation works by stimulating bowel movement, helping to restore regularity. Suitable for adults and children aged 10 years and over. Do not exceed the recommended dose. Not for long-term use unless directed by a doctor. Always read the Patient Information Leaflet before use.",7.2,5000283661979
Dulcolax Twelve Plus 10mg Suppositories (12),"Dulcolax Twelve Plus 10mg Suppositories provide fast, effective relief from occasional constipation. Each suppository contains bisacodyl, a stimulant laxative that works directly in the bowel to encourage natural movement. Designed for rapid action, they offer dependable relief within minutes, helping to ease discomfort and restore regularity. Ideal for short-term use when quick support is needed, these easy-to-use suppositories provide targeted, reliable comfort.

Age Restrictions – Suitable for adults and young people aged 12 years and over.

Always read the Patient Information Leaflet before use.",6.2,5000283661962
Durex Intense Regular Condoms (Pack of 6),"Durex Intense Regular Fit Condoms are designed to enhance pleasure for both partners. Coated with special DESIREX™ gel, they provide unique warm, cool, and tingling sensations during intimacy. The condoms feature stimulating tabs and striations on the surface for increased satisfaction. With a regular fit and 56mm nominal width, they offer a comfortable and secure experience while providing protection against pregnancy and sexually transmitted infections. Made from transparent natural latex, each condom is electronically tested for strength, flexibility, and reliability.

Always read Patient Information Leaflet before use.",8.1,5011417567586
Durex Original Extra Safe Condoms (Pack of 12),"Durex Extra Safe condoms provide extra reassurance with slightly thicker latex and additional lubrication. These condoms are designed for those who want enhanced protection without compromising on comfort or pleasure. The extra thickness offers peace of mind, while the generous silicone lubrication ensures a smooth, comfortable experience. Features include a shaped design for better fit, reservoir tip, and reduced latex odour. Each condom is 100% electronically tested with rigorous quality controls. Helps protect against pregnancy, HIV and sexually transmitted infections, though no method is 100% effective.

Always read Patient Information Leaflet before use.",12.7,5052197045215
Durex Play Feel Water Based Lube (50ml),"Durex Play Feel is a light, water-based lubricant designed to enhance intimate experiences with smooth, comfortable glide. This pH-friendly formula is gynaecologically tested, non-sticky and non-greasy, washing off easily without leaving stains. Safe to use with all Durex condoms and sex toys, it helps ease vaginal dryness and discomfort. Free from artificial fragrances and colours, it's gentle on the body and suitable for vaginal, anal and oral use.

Always read Patient Information Leaflet before use.",6.1,5011417567623
Earol Baby Olive Oil Spray (10ml),"Earol Baby Olive Oil Spray gently softens and loosens earwax to help maintain healthy ear hygiene in babies and young children. Its simple spray application delivers a fine mist of pure olive oil for safe, controlled use without the need for cotton buds. Formulated specifically for delicate ears, it’s ideal for regular use to keep ears clean and comfortable.

Age Restrictions – Suitable for infants and young children.

Always read the label before use.",7.5,5060102170785
Elastoplast Extra Tough Plasters (Pack of 12),"Elastoplast Extra Tough Waterproof Plasters provide durable, flexible protection for minor wounds in demanding situations. Made with Hi-DRY TEX technology, these plasters are completely waterproof, breathable, and feature extra strong adhesion that lasts longer. The tough fabric shields wounds from water, dirt, and bacteria, making them ideal for showering, swimming, sports, DIY, gardening, or outdoor activities. Hypoallergenic and latex-free, they're suitable for sensitive skin. Pack contains 12 assorted plasters for various wound sizes.

Always read Patient Information Leaflet before use.",2.9,4005800030611
Elastoplast Fabric Waterproof Plasters (Pack of 18),"Elastoplast Fabric Waterproof Plasters offer reliable protection for minor cuts and grazes with advanced Hi-Dry Tex technology. The flexible fabric features a waterproof and breathable 3-layer membrane that keeps wounds dry and protected from dirt and bacteria during swimming, showering, bathing, or exercising. The stretchy fabric moves with your skin for comfortable wear, while strong adhesion ensures the plaster stays securely in place. Dries quickly after water exposure. Pack contains 18 plasters.

Always read Patient Information Leaflet before use.",3.3,4005800044427
Elastoplast Flexible XL Plasters (Pack of 10),"Elastoplast Flexible XL Plasters provide reliable protection for larger wounds, particularly on joints like knees and elbows. The extra-large wound pad (5cm x 7.2cm) seals completely around the injury to prevent contamination. These plasters are extra flexible and breathable, adapting to body movements while remaining comfortable. The water-repellent material keeps the plaster securely in place, while the non-stick wound pad cushions and protects the wound. Made from 100% latex-free fabric with strong adhesion, they block 99% of dirt and bacteria.

Always read Patient Information Leaflet before use.",3.7,4005800310799
Elastoplast Kids Disney Frozen Plasters (Pack of 20),"Elastoplast Disney Frozen plasters specially sized for children's minor cuts, grazes, scraped knees and elbows. Each pack contains 20 plasters (14 small 19x55mm, 6 large 30x55mm) featuring favourite Frozen characters including Elsa, Anna and Olaf. The water-resistant material protects wounds from dirt and bacteria while remaining skin-friendly and painless to remove. Safe colours that resist saliva and sweat make these plasters ideal for active kids.

Always read Patient Information Leaflet before use.",3.5,4005800187728
Elastoplast Protective Adjustable Ankle Support (Pack of 1),"Provides strength, stabilisation and relief for weak, injured or stiff ankles. Features 360° Wraparound Technology for all-round support and stability, Dynamic Pressure Adjustment to reduce strain and relieve pain, and Thermo Tech Material to aid recovery through warmth and improved circulation. The adjustable design with durable Velcro straps allows for a personalised fit and customised compression. Made from breathable, tear-resistant neoprene that fits comfortably under most footwear. Limits unwanted movement to support weak tendons and prevent injury or re-injury. Reduces swelling, pain and recovery time following sprains and strains. Suitable for everyday use during sports or regular activities on either ankle.

Always read Patient Information Leaflet before use.",16.5,4005800325335
Elastoplast Protective Adjustable Knee Support (Pack of 1),"The Elastoplast Protective Adjustable Knee Support improves healing and stability in weak or injured knees. It provides compression and warmth to reduce joint effusion and pain in the knee joints and tendons. Ideal for recovery after sprains, bruises, inflammation and other minor knee injuries, helping to improve mobility and prevent re-injury. Features adjustable velcro straps for a secure, comfortable fit throughout the day. Made from skin-friendly, washable neoprene material.

Always read Patient Information Leaflet before use.",20.7,4005800325342
Elastoplast Protective Wrist Support Bandage,"Elastoplast Protective Wrist Support Bandage provides gentle, adjustable support for weak, strained, or injured wrists. Its elasticated design offers compression and stability while allowing natural movement, helping to reduce discomfort and support recovery. Ideal for everyday use, sports, or light activity, this breathable, easy-to-apply bandage delivers reliable protection and comfort for sore or vulnerable wrists.

Age Restrictions – Suitable for adults and children aged 12 years and over.

Always read the Patient Information Leaflet before use.",2.2,4005800325328
Elastoplast Second Skin Plasters (Pack of 6),"Elastoplast Second Skin Plasters provide ultra-thin, flexible protection for everyday wounds. Using advanced hydrocolloid technology, these plasters create a moist healing environment that accelerates wound healing. The 100% waterproof yet breathable material allows you to shower and swim whilst protecting wounds from dirt and bacteria. With extra-strong adhesion lasting 72+ hours, they stay in place until they start to naturally detach. The flexible design acts like a second skin, providing discreet comfort and protection. Latex-free and suitable for all skin types.

Always read Patient Information Leaflet before use.",4.1,4005800324994
Elastoplast Sensitive Plasters (Pack of 20),"Elastoplast Sensitive Plasters provide hypoallergenic wound protection for minor everyday wounds such as scratches, cuts and grazes. Extra skin friendly and dermatologically approved, these plasters are specially designed for sensitive skin. The soft, breathable material features a non-stick wound pad that protects and cushions wounds while blocking 99% of dirt and bacteria. The secure yet gentle adhesion keeps plasters in place but remains painless to remove. Suitable for diabetics. Pack contains 20 strips in assorted sizes.

Always read Patient Information Leaflet before use.",3.5,4005800237447
Elastoplast Sensitive XL Dressings (Pack of 5),"Elastoplast Sensitive XL Dressings protect larger everyday wounds while being extra gentle on sensitive skin. The sterile, non-stick wound pad absorbs fluids effectively without adhering to the wound, ensuring painless removal. The soft, breathable material provides strong adhesion to surrounding skin while allowing air circulation. Dermatologically approved and latex-free, these 6x7cm dressings cover and shield minor wounds from dirt and bacteria. Pack contains 5 sterile dressings.

Always read Patient Information Leaflet before use.",4,4005800278907
Elastoplast Sensitive XXL Plasters (Pack of 5),"Elastoplast Sensitive XXL Dressings are sterile wound plasters for larger and post-operative wounds. Extra skin-friendly with a large, non-stick wound pad that cushions without sticking to your wound. The breathable material adheres securely yet removes painlessly, ideal for sensitive skin. Pack contains 5 dressings (8cm x 10cm).

Always read Patient Information Leaflet before use.",5.8,4005800278914
Elastoplast Water Resistant Plasters (Pack of 20),"Elastoplast Water Resistant Plasters protect minor wounds like scratches, cuts and grazes from water and dirt. The breathable, water-resistant material allows skin to breathe while the non-stick wound pad cushions and protects the wound. Strong adhesion keeps the plaster securely in place. Blocks 99% of dirt and bacteria to support clean healing. Pack contains 20 strips (19x72mm).

Always read Patient Information Leaflet before use.",3.4,4005800042782
Elastoplast Wound Spray (100ml),"Elastoplast Wound Spray is an antiseptic spray for cleansing minor wounds including cuts, abrasions, first and minor second-degree burns, and open blisters. The alcohol-free, pain-free formula removes dirt and bacteria to help prevent infection and support healing. The colourless solution won't stain clothing and is suitable for sensitive skin. Works at any angle, ideal for on-the-go first aid. Can also be used for chronic wounds and postoperative care per doctor's guidance.

Age Restrictions: Children under 2 years should consult a doctor before use. Pregnant or breastfeeding women should consult a doctor before use.

Always read Patient Information Leaflet before use.",5.1,4005800206122
Feminax Express (8 Tablets),"Feminax Express tablets provide fast and effective relief from period pain and cramps. Containing ibuprofen lysine for quicker absorption, they target pain, muscle cramps, and discomfort associated with menstruation. Gentle on the stomach when taken as directed. Suitable for adults and children over 12 years. Always read the Patient Information Leaflet before use.",4.9,5010605208171
Flarin 200mg Soft Capsules Ibuprofen (12 capsules),"Flarin 200mg Soft Capsules provide fast and effective relief from pain, inflammation, and fever. Suitable for headaches, toothaches, muscle aches, and period pain, the soft capsules are easy to swallow and act quickly. Suitable for adults and children aged 12 years and over. Do not exceed the recommended dose and avoid use with other ibuprofen-containing products. Always read the Patient Information Leaflet before use.",5.8,5060375230131
